Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
Inner Circle - Sweat ,ахахах вот поднимает настроение)) Хорошенькая,https://www.youtube.com/watch?v=uc2UEfWjvo8,,
Madonna - Frozen ,"Не понимаю, как она так чисто поет.. еще удивила сама мадонна у тебя в плейлисте",https://youtu.be/XS088Opj9o0,,
Brenda Lee - Emotions ,"Оййй) Это пошли my favourite kind of music.  АА боже... Как же мне культурно описать)) Глаза много говорят, посмотри на меня, когда я буду ее слушать",https://youtu.be/Tto9-9PGVJw?si=509CLpqjziT2LUvg,,
Santo & Johnny - And I love her,Same!! Послушать один раз? невозможно,https://youtu.be/acehdUenKGY,,
Alison Moyet - Love Resurrection,"Тут такой ритм, что хочется двигаться",https://youtu.be/0xE-2DcYAlo,,
Joy Division - Love will tear us apart,"я больше люблю спокойные песни, но это приятная, хоть и слишком громкая",https://youtu.be/zuuObGsB0No,,
Sade - No ordinary love,"You took my love... Эта будет наша песня, ай надеюсь ты не против, просто подходит",https://youtu.be/_WcWHZc8s2I?list=RDux3u31SAeEM,,
Art of Noise - Moments in love,"Ого..ОГО. Нет, я не согласна назвать это просто музыкой. Это не просто. Вау...",https://youtu.be/vScoKuG3tw0?list=OLAK5uy_mYU2hVDGh6lbGWiiZluTXBCuc6ZSw8d-o,,
"Naked Eyes - Promises, Promises","Если слова с контекстом, то я меняю это)",https://youtu.be/YYtBF1OVciU?list=RDYYtBF1OVciU,,
WASP - Keep holding on ,"Я послушала со словами, я их изучила. И могу сказать, что это было невероятно. очень хочу послушать еще раз.Некоторые вещи стали понятнее, да, думаю да. А еще я поняла, что очень скучаю..",https://youtu.be/FBmTdJCdMvc,,
Carl Hunter - 03 Never never comes,я хочу послушать несколько песен этой группы. Почему то цепляет,https://youtu.be/5aagF5TFsDw?list=PLpdr8aIuVmXUEVO4FIJzAuolC62sA5S8W,,
D.J.Savage - Rain of love,Довольно неплохая,https://www.youtube.com/watch?v=VdlYq4Vs_DU&pp=ygUWZGogc2F2YWdlIHJhaW4gb2YgbG92ZQ%3D%3D,,
Aerosmith - Pink,"Ты знаешь мою любовь к этой песни, так что эта группа заняла отдельное место в сердечке))",https://www.youtube.com/watch?v=ZfbBqBOSXlU&pp=ygUPcm9jayBzb25ncyBwaW5r,,
Love Fool - The Cardigans ,"Это красота у меня уже давно! Love me love me)) Ай ну очень классная, еще мне нравится ее голос. А еще такое ощущение Франции.. не знаю почему",https://youtu.be/BqslvnSX5xo?list=PL3578019410C43F9C,,
The Cars - Drive,"На самом деле, слова очень много означают. Не только про вторую половинку, но и с друзьями",https://youtu.be/xuZA6qiJVfU,,
The Cars - You might think,"Вроде мое, а вроде совсем не мое. Мы еще с ней не определились",https://youtu.be/3dOx510kyOs,,
Kate Bush - Running up that hill," Что то очень знакомое.. Она наверника очень популярная. Но скажу честно, ее заездили в сети.. и уже не та атмосфера:(",https://youtu.be/wp43OdtAAkM?list=RDCsHiG-43Fzg,,
Crowded House - Dont Dream its over,"Довольно relaxing..Так, что хочется плавно двигаться, приятная",https://youtu.be/J9gKyRmic20?list=RDCsHiG-43Fzg,,
Falco - Vienna Calling ,"Некоторые моменты необычно звучат, но так хорошо",https://youtu.be/MTlSjRMx5Ic?list=RDMTlSjRMx5Ic,,
Fleur - Теплые коты,"Музыка тут просто вау, я обожаю такое. Мысли переполнены мурчащими котами)) АЙ очень очень теплая, даже осенняя песня..",https://youtu.be/be0JV7wWdTA?si=pLlJJl1atYSkgL6H,,
Laid Back - Bakerman,"Звучит сексуально, очень даже. Но не в плане извращений, а наоборот вот эта природная сексуальность.. сложно объяснить, но вот так",https://youtu.be/yByP88jUQH4,,
ZZ Top - Gimme All your lovin',Слушать в правильном настроении. Когда вот хочется прочувствовать всю эту атмосферу,https://youtu.be/Ae829mFAGGE,,
AC/DC - Thunderstruck,"У меня заболело горло, как он так поет..",https://youtu.be/v2AC41dglnM,,
Алла Пугачева - Этот мир,"У меня песни на русском, а тем более такие заставляют меня грустить(( и скучать по тебе)",https://youtu.be/CSnK-OQfi4w,,
Naked Eyes - Eyes of a child ,"Да, вот тут все хорошо",https://youtu.be/FYqUMqUTHns,,
Cretu & Thiers - When Love is the missing world,"Песня правда хорошая, но я не увидела чего то, что могло меня бы подцепить",https://youtu.be/EIS0W4esOXk,,
London Boys - Harlem Desire,"Ну тут танцевать нужно так же, как и мужчины в клипе:))",https://youtu.be/ohWU8j_2iEg,,
